Nombre Municipio o Total Provincial y/o CC.AA.;Código INE;Población  2012;Población  2011;Población  2010;Población  2009;Población  2008;Población  2007;Población  2006;Población  2005;Población varones;Población mujeres;Población españoles;Población extranjeros;Variación población 07-12 (Absoluta);Variación población españoles 07-12 (absoluta);Variación población extranjera 07-12 (absoluta);Variación población 07-12 (%);Ritmo de crecimiento medio anual de la población 07-12;Extensión (km2);Paro registrado en % s/población potencialmente activa 2012;% Paro de varones;% Paro de mujeres;% Paro de 16 a 24 años;% Paro de 25 a 49 años;% Paro de 50 a 64 años;Cuota de mercado  2012 ;Teléfonos  fijos 2012;Variación teléfonos fijos 07-12 (%);Líneas de banda ancha  2012;Vehículos de motor  2012;Automóviles  2012;Camiones y furgonetas  2012;Otros vehículos de motor 2012;Motocicletas;Autobuses;Tractores  industriales;Resto vehículos de motor;Variación total vehículos de motor 07-12 (%);Variación automóviles 07-12 (%);Variación camiones y furgonetas 07-12 (%);Variación otros vehículos de motor 07-12 (%);Oficinas de entidades de depósito  2013;Variación oficinas entidades de depósito 08-13 (Absoluta);Actividades industriales (industria y construcción);Actividades industriales: industria;Energía y agua;"Extracción y transf. min.energ y deriv.; ind.quím";"Industrias transf. de metales; mec. precisión";Industrias manufactureras;Actividades industriales: construcción;Variación actividades industriales 07-12 (%);Actividades comerciales mayoristas;"Materias primas agrarias; alim., bebidas y tabaco";Textiles, confección, calzado y artículos de cuero;"Productos farmac; perfum. y mant. hogar";Comercio al por mayor de art. consumo duradero;Comercio al por mayor interindustrial;Otro comercio al por mayor interindustrial;Otro comercio al por mayor no especificado;Variación actividades comerciales mayoristas 07-12 (%);Actividades comerciales minoristas  2012;Act. com. alimentación;Act. com. tradicional;Act. com. supermercados;Act. com. total no alimentación;Act. com vestido y calzado;Act. com. hogar;Act. com. resto no alimentación;Act. com. c. mixto y otros;Act. com. grandes almacenes;Act. com. hipermercados;Act. com. almacenes populares;Act. com. ambulante y mercadillos;Act. com otro comercio;Variación actividades comerciales minoristas 07-12 (%);Superficie-m2 actividades comerciales minoristas;Superficie-m2 alimentación;Superficie-m2 com. tradicional alim.;Superficie-m2 supermercados;Superficie-m2 total no alimentación;Superficie-m2 vestido y calzado;Superficie-m2 hogar;Superficie-m2 resto no alimentación;Superficie-m2 c. mixto y otros;Superficie-m2 grandes almacenes;Superficie-m2 hipermercados;Superficie-m2 almacenes populares;Superficie-m2 otro comercio;Centros comerciales;Superficie-m2 Centros comerciales  2012;Actividades de restauración y bares;Variación actividades de restauración y bares 07-12 (%);Índice industrial;Índice comercial;Índice comercial mayorista;Índice comercial minorista;Índice de restauración y bares;Índice turístico;Índice turístico 2006;Índice actividad económica;Índice actividad económica 2006
Comares;29044;1.638;1.636;1.615;1.591;1.570;1.568;1.522;1.485;865;773;988;650;70;-98;168;4,5;0,9;26;9,8;13,7;5,1;8,0;14,1;5,1;4;271;-25,2;40;1.316;650;407;260;82;4;0;173;11,1;15,7;5,2;9,7;2;0;15;8;1;0;1;6;7;-15,8;3;3;0;0;0;0;0;0;0,0;10;1;1;0;4;0;3;1;5;0;0;0;0;5;-33,3;910;39;39;0;533;0;445;88;338;0;0;0;338;0;n.d.;6;-40,0;0;0;1;0;1;0;1;0;0
Cómpeta;29045;3.861;3.832;3.862;3.854;3.794;3.712;3.582;3.418;1.954;1.907;2.164;1.697;149;-80;229;4,0;0,8;54;12,4;17,1;7,3;12,5;17,9;6,0;8;986;-22,7;442;3.503;1.612;855;1.019;344;1;16;675;9,9;11,9;1,5;14,5;3;0;65;14;0;0;3;11;51;-18,3;11;6;0;0;2;0;3;0;-7,7;52;17;13;4;30;2;18;10;5;0;0;0;0;5;-35,9;3.716;1.259;943;316;2.217;66;974;1.177;240;0;0;0;240;0;n.d.;17;-35,7;2;3;3;3;3;1;5;2;3
Conil de la Frontera;11014;21.927;21.664;21.331;20.984;20.752;20.301;19.890;19.417;11.100;10.827;20.379;1.548;1.626;1.138;488;8,0;1,6;89;17,7;17,4;18,2;11,2;19,4;18,0;45;8.295;25,6;5.099;16.627;9.291;2.615;4.670;1.210;30;52;3.429;14,2;19,1;6,2;9,8;14;-1;174;51;3;10;11;27;123;-19,3;68;54;0;0;2;1;8;3;-23,7;381;145;89;56;197;29;62;106;39;0;0;1;13;25;-26,2;57.601;24.068;1.696;22.372;29.244;1.180;19.125;8.939;4.289;0;0;1.078;3.211;0;n.d.;150;-19,2;7;35;32;37;34;259;193;21;26
Consell;07016;3.861;3.789;3.677;3.515;3.413;3.252;3.045;2.877;1.983;1.878;3.569;292;609;562;47;18,7;3,5;14;9,9;10,1;9,9;6,0;10,6;10,4;8;1.226;-12,7;876;3.065;2.125;449;479;290;0;7;194;19,7;19,9;11,1;27,5;3;0;85;38;0;7;6;25;47;-7,6;19;14;1;1;1;0;2;0;-20,8;25;6;4;2;9;1;5;3;10;0;0;0;4;6;-58,1;1.989;822;278;544;749;66;529;154;418;0;0;0;418;0;n.d.;5;-58,3;4;4;8;2;2;0;0;3;4
Constantí;43047;6.774;6.592;6.356;6.373;6.401;6.183;5.813;5.608;3.575;3.199;5.041;1.733;591;70;521;9,6;1,8;31;14,4;16,2;12,9;9,5;15,6;14,4;13;2.289;6,2;1.360;6.231;3.379;1.088;1.734;602;358;361;443;11,1;10,9;14,6;9,4;3;0;117;70;0;17;28;25;47;6,0;55;15;1;6;5;9;12;7;36,6;51;16;14;2;29;4;5;20;6;0;0;0;1;5;-33,9;5.303;603;199;404;4.184;69;611;3.504;516;0;0;0;516;0;n.d.;19;-41,7;21;15;29;4;7;0;0;21;12
Corçà;17057;1.279;1.317;1.296;1.280;1.270;1.255;1.261;1.232;623;656;1.170;109;24;43;-19;1,9;0,4;16;8,3;9,2;6,8;2,6;9,5;8,9;3;558;0,0;300;1.431;833;341;276;123;1;18;115;8,2;8,5;8,6;7,1;0;0;51;22;0;8;5;9;29;-7,9;13;6;0;0;1;1;5;0;-7,1;29;12;11;1;16;1;1;14;1;0;0;0;0;1;-24,4;3.832;704;334;370;2.932;19;845;2.068;196;0;0;0;196;0;n.d.;3;-70,0;5;3;4;2;0;0;1;3;3
Corbera;46098;3.304;3.356;3.330;3.325;3.300;3.249;3.186;3.077;1.648;1.656;3.044;260;55;19;36;1,7;0,3;20;14,1;14,6;13,0;11,4;15,9;11,8;7;854;-22,8;497;3.231;1.794;522;927;250;0;288;377;9,1;7,2;-0,6;19,9;4;-1;47;31;5;4;4;18;16;-2,0;7;5;1;0;0;0;1;0;16,7;37;14;12;2;14;1;3;10;9;0;0;0;0;9;-40,7;3.988;760;362;398;1.488;72;778;638;1.740;0;0;0;1.740;0;n.d.;5;-76,2;2;4;3;4;2;0;0;3;4
Corbera d'Ebre;43048;1.204;1.180;1.171;1.174;1.169;1.161;1.128;1.117;649;555;974;230;43;-56;99;3,7;0,7;53;6,9;7,4;6,7;4,9;8,5;4,5;3;373;-2,6;163;848;499;218;131;49;0;1;81;5,1;5,9;0,5;10,1;2;0;17;11;1;0;2;8;6;-16,7;2;2;0;0;0;0;0;0;-50,0;19;8;6;2;5;1;0;4;6;0;0;0;0;6;-16,5;1.755;579;142;437;675;75;0;600;501;0;0;0;501;0;n.d.;4;-60,0;1;1;1;2;1;0;0;5;1
Corbera de Llobregat;08072;14.231;14.064;14.000;13.843;13.435;13.133;12.805;12.025;7.106;7.125;12.889;1.342;1.098;1.180;-82;8,4;1,6;18;9,8;9,8;9,8;4,2;10,4;11,6;28;5.852;3,9;3.799;11.072;6.853;1.618;2.527;1.651;26;37;887;12,3;11,0;5,3;20,9;6;-3;245;37;3;3;15;16;208;-16,2;19;3;2;2;2;2;6;2;-28,6;93;34;30;4;51;4;10;37;8;0;0;0;4;4;-46,4;6.036;3.481;940;2.541;2.312;369;576;1.367;243;0;0;0;243;0;n.d.;39;-14,6;10;7;7;7;8;3;2;10;13
Cornellà de Llobregat;08073;87.458;87.243;87.240;86.519;85.180;84.477;84.289;84.131;43.108;44.350;72.497;14.961;2.981;317;2.664;3,5;0,7;7;14,3;15,9;12,6;7,7;15,2;16,0;176;35.408;0,4;17.399;47.009;32.239;6.505;8.213;5.338;88;144;2.695;2,4;0,3;-1,6;15,7;70;-24;1.231;557;25;37;243;252;674;-10,3;462;83;19;35;97;19;151;58;17,6;1.360;518;485;33;758;177;192;389;84;1;2;1;30;50;-22,5;162.136;30.274;14.524;15.750;83.048;14.909;29.256;38.883;48.814;29.210;13.554;1.234;4.816;2;90.100;548;-10,9;129;321;355;294;207;57;35;164;182
Cornellà del Terri;17056;2.257;2.233;2.210;2.176;2.189;2.106;2.079;2.017;1.147;1.110;2.090;167;151;82;69;7,2;1,4;28;7,2;6,3;8,0;3,0;6,8;10,1;6;1.061;-0,1;521;2.626;1.418;741;465;206;11;19;231;14,1;11,1;15,2;22,3;2;-1;124;79;6;5;41;27;45;-4,7;25;10;2;2;2;1;8;0;14,3;19;8;8;0;9;0;1;8;2;0;0;0;0;2;-17,4;2.268;77;77;0;1.955;0;343;1.612;236;0;0;0;236;0;n.d.;8;-40,0;12;6;12;1;2;1;2;8;7
Cornudella de Montsant;43049;1.025;1.026;1.028;1.015;1.006;1.006;979;948;541;484;911;114;19;4;15;1,9;0,4;63;8,4;9,3;7,2;4,1;8,4;10,2;2;440;-4,9;210;933;464;197;276;155;0;5;112;14,6;17,5;6,5;16,2;1;0;37;15;0;0;1;14;22;13,5;2;1;0;0;0;0;1;0;0,0;20;10;10;0;7;0;1;6;3;0;0;0;0;3;-66,0;4.053;961;961;0;2.992;0;294;2.698;100;0;0;0;100;0;n.d.;6;-64,7;1;1;1;1;1;1;8;1;1
Cortegana;21025;4.914;4.896;4.939;4.965;5.026;4.977;5.039;4.952;2.477;2.437;4.741;173;-63;-140;77;-1,3;-0,3;173;18,1;17,8;18,6;14,7;20,3;15,5;11;1.113;-20,6;578;3.317;2.109;708;489;180;1;5;314;16,1;15,8;13,5;21,4;6;0;55;28;0;1;5;22;27;5,3;12;9;0;0;0;0;3;0;-13,3;82;20;17;3;49;11;16;22;13;0;0;1;1;11;-28,1;4.569;572;407;165;2.063;552;748;763;1.934;0;0;1.036;898;0;n.d.;26;-27,0;3;6;5;6;5;2;8;4;5
Cortes de Baza;18053;2.219;2.265;2.259;2.266;2.347;2.167;2.206;2.335;1.118;1.101;2.066;153;52;-48;100;2,4;0,5;141;10,0;11,5;7,8;9,0;13,8;4,9;5;621;-18,4;193;1.771;1.018;388;350;118;0;7;240;16,1;7,0;30,6;31,8;3;0;27;12;3;1;1;7;15;-3,3;2;2;0;0;0;0;0;0;100,0;24;9;7;2;10;3;1;6;5;0;0;0;0;5;-17,2;797;179;106;73;251;45;43;163;367;0;0;0;367;0;n.d.;8;-42,9;1;1;0;2;1;1;1;1;1
Cortes de la Frontera;29046;3.540;3.586;3.642;3.714;3.762;3.738;3.758;3.686;1.808;1.732;3.307;233;-198;-196;-2;-5,3;-1,1;176;21,4;18,9;23,7;14,2;24,3;21,4;7;682;-33,7;316;2.487;1.344;608;544;153;0;0;382;10,5;9,1;12,6;11,9;4;1;41;20;1;2;4;13;21;-14,5;4;2;0;1;0;0;1;0;-42,9;38;19;16;3;12;1;4;7;7;0;0;0;0;7;-42,3;3.921;852;250;602;2.128;80;653;1.395;941;0;0;0;941;0;n.d.;14;-54,8;3;3;1;4;4;6;22;2;2
Cortes de Pallás;46099;1.000;1.054;951;909;974;962;978;1.014;528;472;967;33;38;16;22;4,0;0,8;233;10,2;10,1;8,9;9,5;12,8;7,0;2;284;-11,2;66;700;432;166;100;44;5;4;49;39,7;36,7;31,7;72,9;1;0;15;5;3;0;0;2;10;-13,3;1;0;0;0;0;0;1;0;-50,0;6;3;3;0;3;0;1;2;0;0;0;0;0;0;-58,0;528;290;290;0;238;0;192;46;0;0;0;0;0;0;n.d.;4;0,0;125;0;1;0;1;0;0;42;41
Cortes y Graena;18054;1.036;1.071;1.033;1.037;1.063;1.067;1.083;1.081;524;512;1.002;34;-31;-35;4;-2,9;-0,6;22;18,7;19,5;16,7;8,3;22,1;19,3;2;267;-4,0;87;787;471;195;114;50;0;0;71;13,7;12,7;11,4;22,2;0;-1;8;4;0;0;0;4;4;28,6;4;3;0;0;0;0;1;0;0,0;3;1;1;0;1;0;0;1;1;0;0;0;0;1;-25,0;126;6;6;0;44;0;0;44;76;0;0;0;76;0;n.d.;6;-14,3;0;1;1;0;1;1;3;0;0
Costitx;07017;1.159;1.133;1.116;1.078;1.023;967;976;1.004;589;570;959;200;192;108;84;19,9;3,7;15;9,0;7,8;10,8;8,7;8,6;9,7;3;466;-6,8;279;1.131;664;223;233;105;0;3;136;15,5;11,4;23,9;20,2;2;0;20;5;1;0;0;4;15;-10,0;1;1;0;0;0;0;0;0;0,0;6;4;4;0;1;0;0;1;1;0;0;0;0;1;-14,3;280;200;200;0;25;0;0;25;55;0;0;0;55;0;n.d.;3;-25,0;1;0;0;0;1;1;1;0;1
Coves de Vinromà (les);12050;2.009;2.049;2.038;2.052;2.093;1.984;1.876;1.857;1.002;1.007;1.598;411;25;-68;93;1,3;0,3;136;11,9;13,2;9,5;5,0;14,5;9,6;5;693;-12,3;241;1.770;902;516;348;123;0;8;221;9,1;8,2;7,7;13,5;2;0;44;26;11;3;3;9;18;-12,2;5;3;0;0;2;0;0;0;-16,7;30;9;8;1;15;1;4;10;6;0;0;0;1;5;-21,1;2.423;107;97;10;1.871;128;396;1.347;445;0;0;0;445;0;n.d.;7;-46,2;4;2;2;2;1;0;0;3;3
Cox;03058;7.077;7.029;6.957;6.826;6.642;6.414;6.464;6.477;3.625;3.452;5.959;1.118;663;183;480;10,3;2,0;17;13,7;14,4;13,2;8,7;15,5;12,5;15;925;-48,5;389;6.327;3.315;1.551;1.476;333;7;131;990;7,3;10,7;5,9;1,8;6;0;115;70;1;15;6;48;45;-27,3;63;46;4;2;2;0;7;2;-8,6;95;34;31;3;54;9;9;36;7;0;0;0;1;6;-35,2;8.098;1.902;283;1.619;5.959;45;2.646;3.268;237;0;0;0;237;0;n.d.;29;-27,9;14;15;25;8;10;2;3;11;12
Creixell;43050;3.431;3.386;3.319;3.219;3.154;2.952;2.758;2.441;1.758;1.673;2.848;583;479;290;189;16,2;3,1;10;15,2;15,9;14,3;7,8;16,9;15,3;7;1.198;-14,5;628;2.367;1.504;337;528;251;0;11;264;6,6;10,0;-5,9;6,3;2;0;69;6;1;0;2;3;63;-4,5;5;2;0;1;1;0;1;0;0,0;39;12;11;1;12;1;5;6;15;0;0;1;1;13;-13,9;3.792;567;254;313;1.797;101;1.403;293;1.428;0;0;50;1.378;0;n.d.;21;-44,7;2;2;1;3;3;13;11;2;2
Crevillent;03059;28.439;28.362;28.738;28.609;28.432;28.172;27.815;27.323;14.492;13.947;25.229;3.210;267;274;-7;0,9;0,2;105;26,7;24,6;29,1;14,8;28,0;31,7;57;7.518;-5,3;4.094;20.432;13.225;3.476;3.746;1.524;8;72;2.127;0,5;2,4;-4,0;-1,6;14;-3;602;488;22;30;49;387;114;-21,1;146;21;54;13;14;6;31;7;-11,2;478;141;124;17;289;55;78;156;48;0;1;4;11;32;-29,1;56.599;9.598;2.183;7.415;36.955;3.910;11.300;21.745;10.046;0;2.500;4.300;3.246;0;n.d.;144;-17,2;87;78;114;51;56;6;9;52;65
Cruïlles, Monells i Sant Sadurní de l'Heura;17901;1.253;1.282;1.250;1.272;1.270;1.291;1.271;1.233;637;616;1.155;98;-38;-5;-33;-2,9;-0,6;100;6,9;6,3;7,1;0,8;7,1;9,0;3;496;-11,3;241;1.474;736;382;358;200;0;4;152;5,4;0,7;12,0;9,2;0;0;40;12;0;6;5;1;28;-4,3;4;2;0;0;0;0;2;0;-20,0;7;2;2;0;5;0;1;4;0;0;0;0;0;0;-36,4;824;12;12;0;812;0;209;603;0;0;0;0;0;0;n.d.;8;0,0;3;1;2;0;1;2;10;2;2
Cubelles;08074;14.375;14.293;13.995;13.711;13.243;12.773;11.835;10.617;7.294;7.081;12.821;1.554;1.602;1.248;354;12,5;2,4;13;12,8;11,7;14,0;7,1;13,5;13,9;27;6.349;6,5;3.506;9.322;6.131;1.148;2.042;1.188;3;23;829;16,9;19,2;4,4;18,3;6;-4;245;39;5;4;11;19;206;-16,8;29;6;3;4;1;2;8;5;-3,1;148;46;38;8;78;5;23;50;24;0;0;2;2;20;-35,4;23.623;6.725;1.048;5.677;13.524;421;3.990;9.113;3.374;0;0;1.367;2.007;0;n.d.;61;-8,3;73;15;14;16;11;6;17;38;39
Cuevas Bajas;29047;1.494;1.482;1.459;1.454;1.463;1.441;1.430;1.462;757;737;1.445;49;53;46;7;3,7;0,7;17;14,4;19,4;9,0;15,7;15,5;11,4;3;340;-13,8;155;1.120;595;283;239;50;3;1;188;9,8;11,4;3,3;14,2;1;0;23;15;0;4;3;8;8;4,2;3;3;0;0;0;0;0;0;-40,0;20;9;7;2;6;0;1;5;5;0;0;0;0;5;-4,8;2.277;847;227;620;1.209;0;403;806;221;0;0;0;221;0;n.d.;3;-72,7;1;1;1;1;1;0;0;1;1
Cuevas de San Marcos;29049;4.043;4.097;4.107;4.131;4.142;4.048;4.007;3.973;2.042;2.001;3.653;390;-5;-162;157;-0,1;0,0;37;11,3;13,4;8,7;13,0;11,7;9,1;8;795;-18,1;413;3.242;1.625;819;804;212;0;4;582;7,4;9,7;2,1;8,4;1;-1;47;27;1;4;8;14;20;-12,1;13;7;0;2;1;0;2;1;-13,3;55;19;15;4;34;5;16;13;2;0;0;0;0;2;-39,0;3.436;448;270;178;2.880;212;1.953;715;108;0;0;0;108;0;n.d.;6;-53,8;20;4;5;4;1;0;0;8;7
Cuevas del Almanzora;04035;13.296;13.148;12.891;13.025;12.596;11.649;11.422;11.484;6.896;6.400;10.009;3.287;1.647;300;1.347;14,1;2,7;265;14,6;15,5;13,6;7,2;16,5;14,7;30;4.253;14,8;2.696;12.086;6.795;2.278;3.008;879;14;270;1.850;8,1;9,7;1,7;9,9;12;-1;210;58;5;22;15;16;152;-13,9;48;38;0;2;2;1;4;1;-25,7;238;95;85;10;129;29;42;58;14;0;0;0;5;9;-30,3;26.827;12.044;1.334;10.710;14.168;1.595;5.797;6.776;615;0;0;0;615;0;n.d.;72;-23,8;58;19;20;18;19;16;6;30;36
Cuevas del Becerro;29048;1.747;1.790;1.771;1.801;1.820;1.847;1.847;1.853;869;878;1.709;38;-100;-99;-1;-5,4;-1,1;16;19,8;23,3;15,2;13,5;23,5;17,6;4;429;-14,2;211;1.049;599;250;194;48;0;0;152;13,5;19,1;10,1;3,1;2;0;20;8;0;0;2;6;12;0,0;2;2;0;0;0;0;0;0;0,0;28;10;10;0;9;2;4;3;9;0;0;0;0;9;-31,8;2.267;430;430;0;1.603;298;875;430;234;0;0;0;234;0;n.d.;13;-43,5;1;1;0;2;2;0;1;1;1
Cuevas del Campo;18912;2.014;1.979;2.054;2.077;2.131;2.032;2.073;2.097;1.013;1.001;1.824;190;-18;-95;77;-0,9;-0,2;97;8,1;8,8;7,0;6,1;9,9;6,3;5;467;-24,7;162;1.748;1.008;427;293;105;0;11;197;11,7;8,2;8,4;31,0;2;0;27;11;0;1;3;7;16;-3,3;0;0;0;0;0;0;0;0;0,0;38;11;11;0;22;5;4;13;5;0;0;0;1;4;-37,0;2.145;517;517;0;1.450;274;608;568;178;0;0;0;178;0;n.d.;8;-52,9;1;1;0;2;1;0;0;1;1
Cúllar;18056;4.630;4.653;4.703;4.766;4.832;4.859;4.898;4.898;2.337;2.293;4.313;317;-229;-317;88;-4,7;-1,0;428;9,0;8,3;9,8;6,6;11,6;6,1;10;1.127;-17,9;381;4.192;2.397;802;984;341;5;27;620;10,1;10,7;10,9;7,9;3;0;62;43;0;12;8;23;19;-18,9;17;11;0;0;1;1;2;2;-19,0;76;14;13;1;42;7;12;23;20;0;0;0;7;13;-35,9;7.517;937;887;50;6.052;415;1.216;4.421;528;0;0;0;528;0;n.d.;20;-46,2;2;6;6;7;3;1;2;3;4
Cúllar Vega;18057;7.104;7.019;6.914;6.658;6.503;6.212;5.892;5.556;3.602;3.502;6.738;366;892;773;119;14,4;2,7;4;18,1;16,7;19,8;11,0;20,6;15,3;13;1.757;-20,5;1.208;5.319;3.415;583;1.291;746;5;9;561;19,9;20,0;8,4;25,7;3;-1;67;7;1;0;2;4;60;-18,3;15;8;3;1;0;2;0;1;-21,1;53;7;4;3;40;15;13;12;6;0;0;0;0;6;-28,9;5.147;398;110;288;4.484;588;1.337;2.559;265;0;0;0;265;0;n.d.;16;-19,0;3;4;5;4;3;0;0;3;4
Cullera;46105;22.736;23.304;23.813;24.121;23.777;23.406;23.619;23.261;11.448;11.288;19.685;3.051;-670;-716;46;-2,9;-0,6;54;15,1;15,2;14,0;10,1;17,5;13,0;48;11.019;-4,4;5.719;16.360;9.759;1.858;4.812;1.913;30;56;2.744;0,8;1,6;-4,5;1,4;17;-4;221;58;2;6;15;35;163;-23,4;33;20;0;3;4;0;5;1;-30,0;447;135;128;7;282;57;80;145;30;0;2;2;10;16;-28,5;52.866;14.895;2.149;12.746;26.497;3.378;9.582;13.537;11.474;0;8.000;920;2.554;1;12.000;194;-26,1;8;38;17;53;52;60;84;22;27
Cumbres Mayores;21029;1.898;1.930;1.954;1.970;1.993;1.986;2.024;2.022;955;943;1.878;20;-88;-104;16;-4,4;-0,9;122;22,1;21,2;22,4;21,7;21,2;23,9;4;579;-9,6;257;1.376;885;289;197;43;0;17;142;12,6;10,8;11,2;23,9;2;-2;47;34;0;0;5;29;13;-14,3;13;12;0;0;0;0;1;0;0,0;31;14;12;2;15;1;7;7;2;0;0;0;0;2;-34,6;1.871;796;170;626;884;51;250;583;191;0;0;0;191;0;n.d.;11;-38,9;3;3;4;2;2;1;2;2;2
Cunit;43051;12.626;12.551;12.464;12.279;11.730;11.102;10.033;9.017;6.349;6.277;10.629;1.997;1.524;1.292;232;13,7;2,6;10;14,0;14,1;13,7;7,1;15,5;14,3;23;5.310;7,0;3.093;7.006;4.697;949;1.364;731;0;21;608;17,9;19,5;14,3;15,4;8;-2;180;14;1;0;5;8;166;-20,4;11;2;0;2;3;1;2;1;-13,3;96;26;24;2;52;5;16;31;18;0;0;1;12;5;-40,2;8.027;983;569;414;5.777;227;2.672;2.878;1.267;0;0;71;1.196;0;n.d.;60;-15,4;6;5;3;6;12;6;11;5;7
Chauchina;18059;4.813;4.768;4.760;4.778;4.707;4.537;4.476;4.365;2.385;2.428;4.716;97;276;226;50;6,1;1,2;21;20,1;25,8;14,8;19,4;21,9;15,7;10;1.563;-2,4;870;4.383;2.528;801;1.091;351;0;31;672;10,7;12,5;10,8;6,5;3;0;59;23;0;3;6;14;36;-24,7;26;13;0;2;3;3;2;3;73,3;75;27;24;3;42;6;15;21;6;0;0;0;1;5;-44,6;17.603;1.508;808;700;15.976;193;12.372;3.411;119;0;0;0;119;0;n.d.;13;-51,9;2;9;13;5;2;1;1;5;4
Chelva;46106;1.627;1.683;1.734;1.782;1.803;1.839;1.877;1.938;838;789;1.595;32;-212;-225;13;-11,5;-2,4;191;19,9;17,7;20,3;23,2;23,3;13,2;5;833;-10,4;286;1.552;842;404;307;94;2;3;207;7,6;6,0;10,1;8,5;3;0;45;18;3;3;3;9;27;-2,0;6;3;0;0;0;0;3;0;-25,0;39;17;16;1;16;3;4;9;6;0;0;0;0;6;-16,1;2.172;926;566;360;911;92;100;719;335;0;0;0;335;0;n.d.;10;-23,1;7;2;2;2;2;1;1;3;2
Chella;46107;2.776;2.798;2.820;2.807;2.860;2.776;2.701;2.666;1.388;1.388;2.341;435;0;-74;74;0,0;0,0;43;19,5;21,6;17,1;13,9;21,4;18,6;6;676;-19,9;387;2.183;1.196;475;521;163;0;18;331;2,7;5,0;-5,6;6,0;2;0;32;12;1;2;2;7;20;-14,6;7;4;0;1;0;1;1;0;-12,5;34;19;18;1;12;3;4;5;3;0;0;0;0;3;-26,5;6.222;3.198;674;2.524;2.066;143;956;967;958;0;0;0;958;0;n.d.;5;-72,2;1;3;3;3;1;0;1;2;2
Cheste;46109;8.615;8.432;8.367;8.270;8.127;7.872;7.425;7.319;4.435;4.180;7.225;1.390;743;198;545;9,4;1,8;71;13,4;13,8;13,3;11,0;14,6;12,0;18;3.088;11,5;1.753;6.732;3.796;1.341;1.612;562;1;37;995;5,9;8,3;2,1;3,9;6;0;161;80;4;25;12;39;81;-15,5;28;12;0;2;2;5;7;0;0,0;123;47;44;3;65;5;17;43;11;0;0;1;3;7;-37,2;17.609;9.499;2.512;6.987;6.881;20;2.095;4.766;1.229;0;0;500;729;0;n.d.;33;-34,0;45;12;14;11;9;1;1;26;26
Chiclana de la Frontera;11015;81.113;79.839;78.591;77.293;76.171;74.261;72.364;70.338;40.891;40.222;77.084;4.029;6.852;5.704;1.148;9,2;1,8;205;23,1;22,2;24,7;14,1;25,9;22,7;161;35.572;21,7;23.372;55.562;34.015;7.113;14.787;4.822;52;172;9.388;8,0;14,1;-2,1;0,3;38;-11;687;266;20;38;82;126;421;-11,6;190;89;5;14;32;2;39;9;-28,0;1.136;336;297;39;709;167;214;328;91;0;1;3;18;69;-16,8;158.057;35.437;6.013;29.424;105.501;11.074;56.474;37.953;17.119;0;5.378;3.087;8.654;1;5.600;455;-8,1;46;161;139;177;159;1.203;1.097;193;126
Chilches/Xilxes;12053;2.875;2.844;2.894;2.872;2.821;2.713;2.638;2.566;1.504;1.371;2.591;284;162;124;38;6,0;1,2;14;14,8;17,1;12,5;17,0;16,0;11,0;6;799;-9,7;387;2.162;1.285;401;507;148;0;11;317;2,6;8,9;3,9;-12,0;3;0;79;16;1;10;1;4;63;7,0;19;12;0;1;0;3;2;1;0,0;49;10;9;1;19;2;3;14;20;0;0;0;1;19;-43,8;8.849;1.388;154;1.234;6.498;116;500;5.882;963;0;0;0;963;0;n.d.;13;-46,2;42;6;8;4;4;8;14;16;12
Chimeneas;18061;1.456;1.485;1.520;1.507;1.499;1.467;1.456;1.485;762;694;1.317;139;-11;-86;75;-0,7;-0,2;90;11,6;10,5;12,4;9,9;13,9;7,7;3;386;-14,2;164;1.226;706;254;262;89;0;10;167;13,6;11,4;14,4;19,3;1;0;9;6;0;0;3;3;3;-40,0;4;4;0;0;0;0;0;0;-20,0;14;9;7;2;5;0;3;2;0;0;0;0;0;0;-26,6;987;799;230;569;188;0;111;77;0;0;0;0;0;0;n.d.;4;-33,3;0;1;1;1;1;0;0;0;1
Chipiona;11016;18.849;18.860;18.722;18.583;18.447;18.182;17.952;17.730;9.454;9.395;18.313;536;667;488;179;3,7;0,7;33;23,6;21,8;25,4;15,9;25,5;24,9;36;6.439;8,6;3.511;15.423;7.171;2.134;6.175;1.598;0;38;4.482;8,4;12,7;5,8;4,7;8;-1;143;61;3;3;20;35;82;-16,2;86;75;0;3;2;0;5;1;-25,4;300;91;77;14;195;47;61;87;14;0;0;1;3;10;-34,8;24.062;4.250;2.017;2.233;18.602;1.399;10.109;7.094;1.210;0;0;500;710;0;n.d.;184;-22,4;5;28;33;24;42;24;44;12;12
Chirivel;04037;1.811;1.846;1.852;1.854;1.839;1.794;1.845;1.849;927;884;1.565;246;17;-43;60;0,9;0,2;197;9,5;10,9;8,2;10,2;11,7;5,9;4;438;-20,0;122;1.652;1.031;363;246;101;3;6;148;12,9;7,6;19,8;27,7;2;0;26;18;0;2;6;10;8;-3,7;4;4;0;0;0;0;0;0;-20,0;16;7;7;0;6;1;2;3;3;0;0;0;0;3;-53,5;1.426;389;389;0;693;140;104;449;344;0;0;0;344;0;n.d.;8;-55,6;1;1;1;1;1;0;1;1;1
