Nombre Municipio o Total Provincial y/o CC.AA.;Código INE;Población  2012;Población  2011;Población  2010;Población  2009;Población  2008;Población  2007;Población  2006;Población  2005;Población varones;Población mujeres;Población españoles;Población extranjeros;Variación población 07-12 (Absoluta);Variación población españoles 07-12 (absoluta);Variación población extranjera 07-12 (absoluta);Variación población 07-12 (%);Ritmo de crecimiento medio anual de la población 07-12;Extensión (km2);Paro registrado en % s/población potencialmente activa 2012;% Paro de varones;% Paro de mujeres;% Paro de 16 a 24 años;% Paro de 25 a 49 años;% Paro de 50 a 64 años;Cuota de mercado  2012 ;Teléfonos  fijos 2012;Variación teléfonos fijos 07-12 (%);Líneas de banda ancha  2012;Vehículos de motor  2012;Automóviles  2012;Camiones y furgonetas  2012;Otros vehículos de motor 2012;Motocicletas;Autobuses;Tractores  industriales;Resto vehículos de motor;Variación total vehículos de motor 07-12 (%);Variación automóviles 07-12 (%);Variación camiones y furgonetas 07-12 (%);Variación otros vehículos de motor 07-12 (%);Oficinas de entidades de depósito  2013;Variación oficinas entidades de depósito 08-13 (Absoluta);Actividades industriales (industria y construcción);Actividades industriales: industria;Energía y agua;"Extracción y transf. min.energ y deriv.; ind.quím";"Industrias transf. de metales; mec. precisión";Industrias manufactureras;Actividades industriales: construcción;Variación actividades industriales 07-12 (%);Actividades comerciales mayoristas;"Materias primas agrarias; alim., bebidas y tabaco";Textiles, confección, calzado y artículos de cuero;"Productos farmac; perfum. y mant. hogar";Comercio al por mayor de art. consumo duradero;Comercio al por mayor interindustrial;Otro comercio al por mayor interindustrial;Otro comercio al por mayor no especificado;Variación actividades comerciales mayoristas 07-12 (%);Actividades comerciales minoristas  2012;Act. com. alimentación;Act. com. tradicional;Act. com. supermercados;Act. com. total no alimentación;Act. com vestido y calzado;Act. com. hogar;Act. com. resto no alimentación;Act. com. c. mixto y otros;Act. com. grandes almacenes;Act. com. hipermercados;Act. com. almacenes populares;Act. com. ambulante y mercadillos;Act. com otro comercio;Variación actividades comerciales minoristas 07-12 (%);Superficie-m2 actividades comerciales minoristas;Superficie-m2 alimentación;Superficie-m2 com. tradicional alim.;Superficie-m2 supermercados;Superficie-m2 total no alimentación;Superficie-m2 vestido y calzado;Superficie-m2 hogar;Superficie-m2 resto no alimentación;Superficie-m2 c. mixto y otros;Superficie-m2 grandes almacenes;Superficie-m2 hipermercados;Superficie-m2 almacenes populares;Superficie-m2 otro comercio;Centros comerciales;Superficie-m2 Centros comerciales  2012;Actividades de restauración y bares;Variación actividades de restauración y bares 07-12 (%);Índice industrial;Índice comercial;Índice comercial mayorista;Índice comercial minorista;Índice de restauración y bares;Índice turístico;Índice turístico 2006;Índice actividad económica;Índice actividad económica 2006
Alaquàs;46005;30.202;30.235;30.270;30.392;30.297;30.177;30.104;29.695;14.965;15.237;28.151;2.051;25;-375;400;0,1;0,0;4;21,0;20,2;21,5;13,5;22,9;20,7;61;12.012;8,8;7.327;19.280;14.008;2.496;2.795;1.576;19;106;1.075;3,2;3,5;-4,7;9,6;21;-3;460;331;6;20;96;209;129;-18,3;140;26;8;11;18;17;48;12;-15,2;475;188;179;9;266;37;91;138;21;0;0;0;3;18;-18,0;50.812;21.691;5.982;15.709;27.360;1.913;12.730;12.717;1.761;0;0;0;1.761;0;n.d.;143;-19,1;35;62;92;39;56;5;5;34;39
Alaró;07001;5.508;5.438;5.401;5.327;5.178;5.018;4.869;4.707;2.734;2.774;4.389;1.119;490;196;294;9,8;1,9;46;10,6;10,2;11,1;8,9;10,6;11,6;11;1.981;-7,3;1.245;4.467;3.106;538;818;368;0;1;454;8,9;8,0;10,9;11,1;3;0;91;21;1;3;2;15;70;-26,4;9;2;3;0;2;0;2;0;-16,7;34;8;6;2;19;3;3;13;7;0;0;0;1;6;-36,5;4.522;1.013;96;917;3.252;74;2.580;598;257;0;0;0;257;0;n.d.;24;-16,7;4;4;2;5;5;3;5;4;5
Albaida;46006;6.162;6.178;6.335;6.449;6.420;6.269;6.273;6.264;3.063;3.099;5.586;576;-107;-136;29;-1,7;-0,3;35;17,4;15,3;19,4;9,7;19,2;18,0;13;1.772;-17,6;982;4.708;2.992;731;994;341;1;12;631;0,9;2,7;-3,4;-0,9;7;0;173;129;7;7;7;108;44;-11,8;26;8;10;1;1;1;5;0;-13,3;120;63;59;4;52;10;12;30;5;0;0;1;3;1;-37,5;15.611;8.721;2.205;6.516;5.405;1.490;2.117;1.798;1.485;0;0;170;1.315;0;n.d.;22;-32,4;12;10;12;8;5;0;2;9;11
Albal;46007;15.721;15.594;15.618;15.443;15.084;14.840;14.505;14.061;7.907;7.814;14.783;938;881;678;203;5,9;1,2;7;19,2;18,5;19,9;12,5;20,1;20,5;32;5.892;14,9;3.706;10.997;7.475;1.605;1.945;985;41;95;796;5,0;6,3;-5,9;10,3;12;0;270;196;9;9;37;141;74;-14,8;53;12;4;3;9;7;16;2;-21,6;161;54;47;7;86;7;27;52;21;0;0;0;3;18;-28,2;32.414;14.751;2.219;12.532;15.686;464;8.435;6.787;1.977;0;0;0;1.977;0;n.d.;53;-29,6;29;24;33;17;20;0;0;19;22
Albalat de la Ribera;46008;3.545;3.609;3.585;3.590;3.541;3.429;3.321;3.382;1.784;1.761;3.208;337;116;-63;179;3,4;0,7;14;17,7;17,3;17,3;11,4;19,9;16,3;8;847;-28,4;560;2.804;1.806;460;544;188;0;7;343;3,0;3,4;0,2;3,9;5;-1;62;29;2;1;8;18;33;-19,8;9;4;0;0;2;1;2;0;-37,5;38;16;16;0;17;1;3;13;5;0;0;0;1;4;-26,2;2.145;566;566;0;1.320;59;129;1.132;259;0;0;0;259;0;n.d.;6;-66,7;4;3;4;2;1;0;0;3;4
Albalat dels Sorells;46009;3.911;3.859;3.856;3.849;3.758;3.708;3.624;3.486;1.913;1.998;3.733;178;203;159;44;5,5;1,1;5;14,5;14,3;15,0;11,6;16,3;12,2;8;1.287;-17,3;650;2.755;1.873;409;470;254;0;31;188;4,8;5,8;-7,3;13,2;4;0;60;22;1;5;4;12;38;6,3;16;7;2;1;2;1;3;0;-22,7;39;15;13;2;21;1;7;13;3;0;0;0;0;3;-30,9;3.856;462;287;175;3.011;52;532;2.427;383;0;0;0;383;0;n.d.;8;-46,7;3;5;7;4;2;0;0;3;4
Albalat dels Tarongers;46010;1.149;1.147;1.137;1.113;1.121;1.070;864;804;602;547;1.083;66;79;58;21;7,4;1,4;21;14,2;11,8;17,3;14,8;15,9;11,1;2;378;-25,9;163;834;573;124;140;68;0;20;49;12,2;20,4;-15,1;13,2;1;0;10;2;1;0;1;0;8;0,0;2;1;0;0;1;0;0;0;0,0;10;5;5;0;3;0;2;1;2;0;0;0;1;1;-14,3;1.041;442;442;0;570;0;513;57;29;0;0;0;29;0;n.d.;3;-57,1;0;0;1;0;1;0;0;0;1
Albatera;03005;11.936;11.901;11.821;11.745;11.656;11.102;10.878;10.449;6.112;5.824;9.527;2.409;834;382;452;7,5;1,5;62;16,8;15,5;18,3;9,2;17,9;20,4;24;2.859;17,6;1.736;7.762;4.784;1.797;1.194;400;0;76;705;5,2;8,6;0,7;-0,6;8;0;182;78;5;7;9;57;104;-5,9;46;29;9;2;2;0;4;0;-9,4;153;52;46;6;93;19;19;55;8;0;0;0;2;6;-30,6;15.880;5.560;486;5.074;9.801;1.083;2.753;5.965;519;0;0;0;519;0;n.d.;47;-25,4;10;17;21;14;14;1;1;11;14
Alberic;46011;11.288;11.331;11.325;11.175;10.932;10.330;10.234;10.081;5.717;5.571;9.472;1.816;958;182;776;9,3;1,8;27;16,0;15,8;16,2;13,6;17,2;14,9;23;3.905;13,8;2.504;8.199;5.052;1.366;1.839;557;11;25;1.188;3,6;7,9;0,9;-5,1;9;0;169;69;6;10;13;40;100;-17,4;36;13;3;4;7;0;8;1;-5,0;168;59;50;9;102;11;25;66;7;0;0;0;0;7;-31,6;17.813;6.471;835;5.636;10.664;710;3.483;6.471;678;0;0;0;678;0;n.d.;41;-31,3;14;16;16;15;12;1;1;11;14
Albinyana;43002;2.367;2.347;2.314;2.275;2.292;2.200;2.140;2.036;1.186;1.181;2.226;141;167;154;13;7,6;1,5;20;18,9;19,3;18,9;11,9;19,7;20,7;4;698;-11,9;400;2.112;1.327;360;417;177;1;11;236;14,3;14,8;7,5;19,0;0;0;19;10;1;1;2;6;9;-9,3;6;6;0;0;0;0;0;0;0,0;13;6;6;0;2;0;1;1;5;0;0;0;0;5;-35,2;850;309;309;0;423;0;373;50;118;0;0;0;118;0;n.d.;8;-42,9;1;1;1;0;2;0;1;1;1
